Trial,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
1,1,4.15,4.14,0,99%,5,4
2,1,4.23,4.22,0.01,99%,12,4
3,1,4.1,4.09,0.01,99%,6,4
AVG,1,4.165,4.155,0.01,0.99,9,4
1,5,12.99,20.93,0.05,161%,21,10
2,5,12.64,20.48,0,162%,20,10
3,5,12.6,20.55,0.02,163%,20,10
AVG,5,12.62,20.515,0.01,1.625,20,10
1,10,21.82,41.52,0.03,190%,57,14
2,10,21.97,41.65,0.04,189%,49,15
3,10,22.19,42.18,0.01,190%,49,15
AVG,10,22.08,41.915,0.025,1.895,49,15
1,20,44.33,84.22,0.01,190%,94,25
2,20,44.28,84.18,0.01,190%,92,25
3,20,44.26,84.24,0.01,190%,93,25
AVG,20,44.27,84.21,0.01,1.9,92.5,25
1,50,110.91,210.52,0.02,189%,226,55
2,50,110.7,210.17,0.04,189%,239,55
3,50,110.21,209.33,0.05,189%,235,55
AVG,50,110.455,209.75,0.045,1.89,237,55
1,100,221.5,421.02,0.06,190%,447,105
2,100,222.54,422.8,0.03,190%,450,105
3,100,222.1,422.04,0.06,190%,448,105
AVG,100,222.32,422.42,0.045,1.9,449,105
1,200,439.67,835.52,0.09,190%,883,205
2,200,443.19,842.41,0.08,190%,898,205
AVG,200,441.43,838.965,0.085,1.9,890.5,205
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
,1,4.165,4.155,0.01,0.99,9,4
,5,12.62,20.515,0.01,1.625,20,10
,10,22.08,41.915,0.025,1.895,49,15
,20,44.27,84.21,0.01,1.9,92.5,25
,50,110.455,209.75,0.045,1.89,237,55
,100,222.32,422.42,0.045,1.9,449,105
,200,441.43,838.965,0.085,1.9,890.5,205
