Trial,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
1,1,4.14,4.14,0,99%,6,4
2,1,4.22,4.2,0.02,99%,8,4
3,1,4.23,4.22,0.01,99%,5,4
AVG,1,4.225,4.21,0.015,0.99,6.5,4
1,5,11.83,22.48,0.02,190%,126,10
2,5,10.78,20.55,0.01,190%,116,10
3,5,10.78,20.49,0.04,190%,116,10
AVG,5,10.78,20.52,0.025,1.9,116,10
1,10,21.73,41.24,0.01,189%,253,14
2,10,22.3,42.34,0.02,189%,263,18
3,10,22.22,42.24,0,190%,262,18
AVG,10,22.26,42.29,0.01,1.895,262.5,18
1,20,44.27,84.22,0.02,190%,521,38
2,20,44.05,83.81,0,190%,515,30
3,20,44.19,84.03,0,190%,525,25
AVG,20,44.12,83.92,0,1.9,520,27.5
1,50,110.75,210.64,0.02,190%,1314,85
2,50,110.56,210.31,0.02,190%,1305,61
3,50,110.72,210.64,0.04,190%,1298,77
AVG,50,110.64,210.475,0.03,1.9,1301.5,69
1,100,220.92,420.17,0.05,190%,2633,156
2,100,222.07,422.34,0.06,190%,2603,106
3,100,221.54,421.32,0.04,190%,2616,161
AVG,100,221.805,421.83,0.05,1.9,2609.5,133.5
1,200,442.58,841.6,0.15,190%,5229,334
2,200,443.63,843.54,0.14,190%,5251,257
AVG,200,443.105,842.57,0.145,1.9,5240,295.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
,1,4.225,4.21,0.015,0.99,6.5,4
,5,10.78,20.52,0.025,1.9,116,10
,10,22.26,42.29,0.01,1.895,262.5,18
,20,44.12,83.92,0,1.9,520,27.5
,50,110.64,210.475,0.03,1.9,1301.5,69
,100,221.805,421.83,0.05,1.9,2609.5,133.5
,200,443.105,842.57,0.145,1.9,5240,295.5
