Trial,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
1,1,15.65,0,1.34,8%,1569,13455
2,1,14.82,0,1.5,10%,2000,13345
3,1,9.28,0,1.26,13%,2366,12976
AVG,1,13.25,0,1.366666667,0.103333333,1978.333333,13258.66667
1,5,6.53,0,1.24,19%,3139,12673
2,5,9.03,0,1.3,14%,3366,12472
3,5,6.38,0,1.38,21%,4092,12572
AVG,5,7.313333333,0,1.306666667,0.18,3532.333333,12572.33333
1,10,5.04,0,1.1,22%,3957,12401
2,10,5.92,0,1.27,21%,2963,12694
3,10,7.72,0,1.38,17%,2475,12793
AVG,10,6.226666667,0,1.25,0.2,3131.666667,12629.33333
1,20,7.58,0,1.38,18%,2928,12867
2,20,7.39,0,1.44,19%,2931,12671
3,20,9.47,0,1.47,15%,1921,12868
AVG,20,8.146666667,0,1.43,0.173333333,2593.333333,12802
1,50,5.08,0,1.18,23%,3318,12636
2,50,7.37,0,1.24,16%,2486,12817
3,50,5.07,0,1.13,22%,2984,12527
AVG,50,5.84,0,1.183333333,0.203333333,2929.333333,12660
1,100,5.75,0,1.2,20%,2542,12796
2,100,4.95,0,1.12,22%,3976,12358
3,100,6.69,0,1.44,21%,2897,12619
AVG,100,5.796666667,0,1.253333333,0.21,3138.333333,12591
1,200,3.23,0,0.99,30%,2945,12581
2,200,7.9,0,1.46,18%,2359,12939
AVG,200,5.565,0,1.225,0.24,2652,12760
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
,1,13.25,0,1.366666667,0.103333333,1978.333333,13258.66667
,5,7.313333333,0,1.306666667,0.18,3532.333333,12572.33333
,10,6.226666667,0,1.25,0.2,3131.666667,12629.33333
,20,8.146666667,0,1.43,0.173333333,2593.333333,12802
,50,5.84,0,1.183333333,0.203333333,2929.333333,12660
,100,5.796666667,0,1.253333333,0.21,3138.333333,12591
,200,5.565,0,1.225,0.24,2652,12760
