Trial,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
1,1,10.74,10.63,0.1,99%,10,4
2,1,10.48,10.4,0.07,99%,19,4
3,1,10.49,10.43,0.05,99%,12,4
AVG,1,10.57,10.48666667,0.073333333,0.99,13.66666667,4
1,5,32.78,52.72,0.19,161%,51,10
2,5,32.37,52.39,0.14,162%,51,10
3,5,32.25,51.76,0.25,161%,48,10
AVG,5,32.46666667,52.29,0.193333333,1.613333333,50,10
1,10,55.12,104.45,0.47,190%,113,15
2,10,55.51,104.75,0.34,189%,113,15
3,10,56.52,106.76,0.35,189%,118,15
AVG,10,55.71666667,105.32,0.386666667,1.893333333,114.6666667,15
1,20,111.79,211.93,0.62,190%,226,25
2,20,112.43,213.11,0.74,190%,230,25
3,20,112.48,213.12,0.58,189%,228,25
AVG,20,112.2333333,212.72,0.646666667,1.896666667,228,25
1,50,280.23,530.58,1.44,189%,561,55
2,50,276.5,523.95,1.53,190%,552,55
3,50,280.41,531.87,1.5,190%,565,55
AVG,50,279.0466667,528.8,1.49,1.896666667,559.3333333,55
1,100,558.1,1057.78,3,190%,1127,105
2,100,560.78,1062.1,3.3,189%,1123,105
3,100,561.52,1064.28,3.03,190%,1126,105
AVG,100,560.1333333,1061.386667,3.11,1.896666667,1125.333333,105
1,200,1121.65,2126.49,5.96,190%,2246,205
2,200,1123.33,2126.96,6.11,189%,2251,205
AVG,200,1122.49,2126.725,6.035,1.895,2248.5,205
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
,1,10.57,10.48666667,0.073333333,0.99,13.66666667,4
,5,32.46666667,52.29,0.193333333,1.613333333,50,10
,10,55.71666667,105.32,0.386666667,1.893333333,114.6666667,15
,20,112.2333333,212.72,0.646666667,1.896666667,228,25
,50,279.0466667,528.8,1.49,1.896666667,559.3333333,55
,100,560.1333333,1061.386667,3.11,1.896666667,1125.333333,105
,200,1122.49,2126.725,6.035,1.895,2248.5,205
