Trial,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
1,1,10.9,10.62,0.18,99%,321,4
2,1,10.57,10.34,0.08,98%,584,4
3,1,10.56,10.43,0.09,99%,151,4
AVG,1,10.67666667,10.46333333,0.116666667,0.986666667,352,4
1,5,27.55,52.98,0.48,194%,8937,8
2,5,26.78,51.74,0.48,194%,8939,13
3,5,26.85,51.73,0.39,194%,8874,12
AVG,5,27.06,52.15,0.45,1.94,8916.666667,11
1,10,53.82,103.66,0.89,194%,28373,15
2,10,54.36,105.02,0.92,194%,28634,21
3,10,54.29,104.72,1.07,194%,28618,13
AVG,10,54.15666667,104.4666667,0.96,1.94,28541.66667,16.33333333
1,20,106.18,208.21,1.48,197%,57440,42
2,20,107.22,209.34,1.58,196%,57933,28
3,20,108.47,210.19,1.88,195%,58737,24
AVG,20,107.29,209.2466667,1.646666667,1.96,58036.66667,31.33333333
1,50,266.4,521.94,3.38,197%,143977,53
2,50,263.97,519.41,2.9,197%,141693,84
3,50,265.91,521.67,3.47,197%,143116,78
AVG,50,265.4266667,521.0066667,3.25,1.97,142928.6667,71.66666667
1,100,522.54,1033.18,5.28,198%,280999,115
2,100,523.11,1033.95,5.17,198%,281483,164
3,100,524.84,1037.4,5.43,198%,281866,157
AVG,100,523.4966667,1034.843333,5.293333333,1.98,281449.3333,145.3333333
1,200,1039.31,2060.05,8.91,199%,555630,230
2,200,1044.05,2070.7,8.45,199%,558683,393
AVG,200,1041.68,2065.375,8.68,1.99,557156.5,311.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
,1,10.67666667,10.46333333,0.116666667,0.986666667,352,4
,5,27.06,52.15,0.45,1.94,8916.666667,11
,10,54.15666667,104.4666667,0.96,1.94,28541.66667,16.33333333
,20,107.29,209.2466667,1.646666667,1.96,58036.66667,31.33333333
,50,265.4266667,521.0066667,3.25,1.97,142928.6667,71.66666667
,100,523.4966667,1034.843333,5.293333333,1.98,281449.3333,145.3333333
,200,1041.68,2065.375,8.68,1.99,557156.5,311.5
