Trial,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
1,1,10.81,10.69,0.11,99%,10,4
2,1,10.59,10.52,0.06,99%,10,4
3,1,10.54,10.48,0.05,99%,8,4
AVG,,10.64666667,10.56333333,0.073333333,0.99,9.333333333,4
,,,,,,,
1,5,27.84,52.76,0.21,190%,304,9
2,5,27.3,51.77,0.21,190%,300,9
3,5,27.24,51.65,0.09,189%,307,11
AVG,,27.46,52.06,0.17,1.896666667,303.6666667,9.666666667
,,,,,,,
1,10,56.25,106.71,0.31,190%,651,16
2,10,56.69,107.46,0.32,190%,663,18
3,10,56.2,106.55,0.31,190%,648,19
AVG,,56.38,106.9066667,0.313333333,1.9,654,17.66666667
,,,,,,,
1,20,111.82,212.08,0.69,190%,1322,23
2,20,111.85,212.19,0.54,190%,1329,31
3,20,112.06,212.39,0.69,190%,1305,23
AVG,,111.91,212.22,0.64,1.9,1318.666667,25.66666667
,,,,,,,
1,50,279.21,529.73,1.44,190%,3303,96
2,50,281.04,533.14,1.58,190%,3318,86
3,50,280.59,532.23,1.48,190%,3293,71
AVG,,280.28,531.7,1.5,1.9,3304.666667,84.33333333
,,,,,,,
1,100,560.8,1063.96,3.02,190%,6569,143
2,100,560.34,1063.19,2.91,190%,6639,178
3,100,560.15,1062.67,3,190%,6619,145
AVG,,560.43,1063.273333,2.976666667,1.9,6609,155.3333333
,,,,,,,
1,200,1122.03,2128.56,6.01,190%,13210,377
2,200,1119.89,2124.66,5.82,190%,13255,390
,,,,,,,
AVG,,1120.96,2126.61,5.915,1.9,13232.5,383.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Processes,Wall (Actual time elapsed),User (Time spent executing in userspace),System (Time spent executing in kernel space),CPU (Percentage of CPU used),I-Switched (Number of times involuntarily context switched),V-Switched (Number of times voluntarily context switched)
,1,10.64666667,10.56333333,0.073333333,0.99,9.333333333,4
,5,27.46,52.06,0.17,1.896666667,303.6666667,9.666666667
,10,56.38,106.9066667,0.313333333,1.9,654,17.66666667
,20,111.91,212.22,0.64,1.9,1318.666667,25.66666667
,50,280.28,531.7,1.5,1.9,3304.666667,84.33333333
,100,560.43,1063.273333,2.976666667,1.9,6609,155.3333333
,200,1120.96,2126.61,5.915,1.9,13232.5,383.5
